                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                  22.85,                      0,                      0,                      0,                      0,                      0,                      0,                 4.7707,                      0,                 0.0937,                 0.0007,                 0.0007
                      2,                      0,                0.13909,                      0,                      0,                      0,                      0,                      0,                      0,                0.00816,                      0,               0.086005,               0.001005,               0.001005
