disliked
우유/버터/치즈
난류
글루텐
갑각류
땅콩
잣/호두/아몬드
돼지
소
복숭아
고등어
오징어/어패류
닭/오리/칠면조
메밀
콩
사과
토마토
바나나
케일
샐러리
버섯
겨자
