item_no,barcode,name,comp_nm
A40003,9557062361330,(주)이마트24감자칩 오리지널,이마트24
A40004,9557062361323,(주)이마트24감자칩 김와사비향,이마트24
A40005,8809027558523,(주)이마트24민트초코팝콘,이마트24
A40006,8809027558158,(주)이마트24흑당팝콘,이마트24
A40007,8804433101431,(주)이마트24달콤한바닐라 웨하스미니,이마트24
A40008,8804433101448,(주)이마트24달콤한딸기 웨하스미니,이마트24
A40009,9557062361354,(주)이마트24자색고구마칩,이마트24
A40010,8995077605833,(주)이마트24자색고구마 웨이퍼롤,이마트24
A40011,8995077605123,(주)이마트24바닐라향 웨이퍼롤,이마트24
A40012,8995077605116,(주)이마트24초코 웨이퍼롤,이마트24
A40013,8998389221098,(주)이마트24코코넛 쿠키,이마트24
A40014,8998389221081,(주)이마트24초코칩 쿠키,이마트24
A40027,7610700607046,(주)일신국제무역리콜라스위스캔디레몬민트맛,일신
A40028,8888077101125,(주)이멕스무역얀얀딸기맛,이멕스
A40030,8710502164927,(주)천하코퍼레이션소프트블루베리머핀쿠키,천하코퍼레이션
A40031,8801117132705,오리온단호박쌀쿠키,오리온
A40032,8000380005949,로아커사로아커웨하스바닐라,로아커
A40033,8000380004669,로아커사로아커웨하스샌드위치초콜릿,로아커
A40034,8801117132606,오리온치즈쌀쿠키,오리온
A40041,8809409250335,아이누리유기농떡뻥당근,아이누리
A40042,8809405290434,퓨어잇퓨어잇동결건조배칩,퓨어잇
